transaction_id,timestamp,type,asset,quantity,price_usd,fee,note
EXC-1001,2024-03-01T09:00:00Z,BUY,BTC,0.5,62000.00,0.0005,Matched exact ID (32s time delta)
,2024-03-01T11:29:55Z,BUY,ETH,2.0,3400.00,0.002,Matched fuzzy proximity
EXC-1003,2024-03-02T08:15:10Z,SELL,BTC,0.11,63200.00,0.0001,Conflicting quantity (0.11 vs 0.1)
,2024-03-02T14:45:05Z,TRANSFER_OUT,ethereum,1.0,,0.001,Matched fuzzy (transfer flip + asset alias)
,2024-03-03T10:02:10Z,BUY,Bitcoin,0.25,61800.00,0.00025,Matched fuzzy (asset alias)
,2024-03-03T16:20:00Z,BUY,USDT,500.00,1.00,0.5,Matched fuzzy
,2024-03-04T09:06:00Z,SELL,ETH,0.5,3450.00,0.0005,Matched fuzzy
,2024-03-04T12:00:00Z,BUY,SOL,10.0,140.00,0.01,Matched fuzzy
USR-9001,2024-03-04T15:30:00Z,BUY,BTC,0.05,62100.00,0.00005,Unmatched user transaction
,2024-03-05T08:30:00Z,TRANSFER_OUT,BTC,0.05,,0.0001,Matched fuzzy
,2024-03-05T15:00:00Z,BUY,ETH,1.5,3500.00,0.002,Matched fuzzy
,2024-03-06T10:15:00Z,SELL,SOL,5.0,145.00,0.005,Matched fuzzy
EXC-1012,2024-03-06T13:30:00Z,BUY,BTC,0.3005,62500.00,0.0003,Conflicting quantity (0.3005 vs 0.3001)
,2024-03-07T09:45:00Z,BUY,MATIC,200.0,0.95,0.2,Matched fuzzy
,2024-03-07T14:00:00Z,SELL,USDT,200.00,1.00,0.2,Matched fuzzy
,2024-03-08T11:00:00Z,BUY,ETH,0.8,3480.00,0.0008,Matched fuzzy
,2024-03-08T16:45:00Z,TRANSFER_OUT,SOL,3.0,,0.003,Matched fuzzy
,2024-03-09T10:30:00Z,BUY,BTC,0.2,61500.00,0.0002,Matched fuzzy
,2024-03-09T17:00:00Z,SELL,ETH,0.3,3510.00,0.0003,Matched fuzzy
,2024-03-10T13:00:00Z,SELL,BTC,0.15,63000.00,0.00015,Matched fuzzy
,2024-03-11T09:00:00Z,BUY,ETH,1.0,3520.00,0.001,Matched fuzzy
,2024-03-11T15:20:00Z,BUY,LINK,50.0,18.00,0.05,Matched fuzzy
,2024-03-12T10:00:00Z,SELL,MATIC,100.0,0.97,0.1,Matched fuzzy
,2024-03-13T09:15:00Z,BUY,BTC,0.35,62200.00,0.00035,Matched fuzzy
,2024-03-13T10:00:00Z,BUY,BTC,invalid_qty,62200.00,0.00035,Invalid row (data quality issue)
